Category,SourceURL
City & Local Government,https://www.nyc.gov/events/
City & Local Government,https://www.chicago.gov/city/en/depts/dca/supp_info/dcase_events.html
City & Local Government,https://www.lacity.org/events
City & Local Government,https://sf.gov/events
City & Local Government,https://www.seattle.gov/events
City & Local Government,https://www.austintexas.gov/event
City & Local Government,https://www.boston.gov/events
City & Local Government,https://www.nyc.gov/events
City & Local Government,https://www.denvergov.org/Government/Events
